suffix;len;count;%count;der;die;das;%der;%die;%das;rev
-iri;3;6;0.00;4;0;2;66.67;0.00;33.33;iri-
-yuiit;5;1;0.00;1;0;0;100.00;0.00;0.00;tiiuy-
-adung;5;152;0.01;0;152;0;0.00;100.00;0.00;gnuda-
-ohrin;5;1;0.00;0;1;0;0.00;100.00;0.00;nirho-
-irk;3;69;0.00;68;1;0;98.55;1.45;0.00;kri-
-irl;3;40;0.00;19;0;21;47.50;0.00;52.50;lri-
-irm;3;121;0.01;121;0;0;100.00;0.00;0.00;mri-
-lium;4;88;0.00;0;0;88;0.00;0.00;100.00;muil-
-ioka;4;1;0.00;0;1;0;0.00;100.00;0.00;akoi-
-tolle;5;5;0.00;0;5;0;0.00;100.00;0.00;ellot-
-daver;5;15;0.00;15;0;0;100.00;0.00;0.00;revad-
-irn;3;66;0.00;11;4;51;16.67;6.06;77.27;nri-
-udeck;5;2;0.00;0;0;2;0.00;0.00;100.00;kcedu-
-ganit;5;8;0.00;8;0;0;100.00;0.00;0.00;tinag-
-iro;3;8;0.00;1;0;7;12.50;0.00;87.50;ori-
-hnöl;4;2;0.00;0;0;2;0.00;0.00;100.00;lönh-
-ysran;5;1;0.00;0;0;1;0.00;0.00;100.00;narsy-
-korea;5;2;0.00;0;0;2;0.00;0.00;100.00;aerok-
-irp;3;1;0.00;1;0;0;100.00;0.00;0.00;pri-
-repan;5;1;0.00;1;0;0;100.00;0.00;0.00;naper-
-ohrit;5;2;0.00;2;0;0;100.00;0.00;0.00;tirho-
-espor;5;1;0.00;0;0;1;0.00;0.00;100.00;ropse-
-lysée;5;1;0.00;0;0;1;0.00;0.00;100.00;eésyl-
-irr;3;61;0.00;0;0;61;0.00;0.00;100.00;rri-
-chnee;5;35;0.00;35;0;0;100.00;0.00;0.00;eenhc-
-espot;5;6;0.00;6;0;0;100.00;0.00;0.00;topse-
-hlie;4;1;0.00;0;1;0;0.00;100.00;0.00;eilh-
-lius;4;6;0.00;6;0;0;100.00;0.00;0.00;suil-
-nrate;5;18;0.00;0;18;0;0.00;100.00;0.00;etarn-
-ktrum;5;115;0.01;0;0;115;0.00;0.00;100.00;murtk-
-salon;5;25;0.00;25;0;0;100.00;0.00;0.00;nolas-
-ugnis;5;135;0.01;0;27;108;0.00;20.00;80.00;singu-
-abohu;5;1;0.00;0;0;1;0.00;0.00;100.00;uhoba-
-koree;5;1;0.00;1;0;0;100.00;0.00;0.00;eerok-
-kémon;5;1;0.00;0;0;1;0.00;0.00;100.00;nomék-
-irt;3;82;0.00;74;0;8;90.24;0.00;9.76;tri-
-iru;3;2;0.00;2;0;0;100.00;0.00;0.00;uri-
-nrath;5;1;0.00;0;0;1;0.00;0.00;100.00;htarn-
-ioki;4;1;0.00;0;0;1;0.00;0.00;100.00;ikoi-
-flora;5;65;0.00;0;65;0;0.00;100.00;0.00;arolf-
-kübel;5;20;0.00;20;0;0;100.00;0.00;0.00;lebük-
-rfahr;5;1;0.00;1;0;0;100.00;0.00;0.00;rhafr-
-gien;4;8;0.00;0;0;8;0.00;0.00;100.00;neig-
-kuom;4;1;0.00;0;0;1;0.00;0.00;100.00;mouk-
-magma;5;1;0.00;0;0;1;0.00;0.00;100.00;amgam-
-rseöl;5;1;0.00;0;0;1;0.00;0.00;100.00;löesr-
-bütte;5;2;0.00;0;2;0;0.00;100.00;0.00;ettüb-
-zmöwe;5;1;0.00;0;1;0;0.00;100.00;0.00;ewömz-
-hoker;5;1;0.00;1;0;0;100.00;0.00;0.00;rekoh-
-ecan;4;15;0.00;1;0;14;6.67;0.00;93.33;nace-
-hlik;4;3;0.00;2;0;1;66.67;0.00;33.33;kilh-
-irz;3;1;0.00;1;0;0;100.00;0.00;0.00;zri-
-illa;4;60;0.00;8;47;5;13.33;78.33;8.33;alli-
-ecap;4;1;0.00;0;0;1;0.00;0.00;100.00;pace-
-gier;4;35;0.00;15;17;3;42.86;48.57;8.57;reig-
-chnen;5;22;0.00;0;0;22;0.00;0.00;100.00;nenhc-
-fcafé;5;2;0.00;0;0;2;0.00;0.00;100.00;éfacf-
-hassé;5;1;0.00;0;0;1;0.00;0.00;100.00;éssah-
-hlin;4;6;0.00;0;6;0;0.00;100.00;0.00;nilh-
-rgame;5;2;0.00;0;0;2;0.00;0.00;100.00;emagr-
-dband;5;5;0.00;2;0;3;40.00;0.00;60.00;dnabd-
-lurf;4;1;0.00;1;0;0;100.00;0.00;0.00;frul-
-adrom;5;1;0.00;0;0;1;0.00;0.00;100.00;morda-
-ecar;4;4;0.00;3;0;1;75.00;0.00;25.00;race-
-pulen;5;6;0.00;0;0;6;0.00;0.00;100.00;nelup-
-lurg;4;1;0.00;1;0;0;100.00;0.00;0.00;grul-
-flori;5;1;0.00;1;0;0;100.00;0.00;0.00;irolf-
-mutan;5;2;0.00;0;0;2;0.00;0.00;100.00;natum-
-bsunk;5;1;0.00;1;0;0;100.00;0.00;0.00;knusb-
-adron;5;6;0.00;0;5;1;0.00;83.33;16.67;norda-
-sclub;5;5;0.00;5;0;0;100.00;0.00;0.00;bulcs-
-ille;4;416;0.02;48;347;21;11.54;83.41;5.05;elli-
-cte;3;1;0.00;1;0;0;100.00;0.00;0.00;etc-
-chner;5;177;0.01;177;0;0;100.00;0.00;0.00;renhc-
-ablis;5;1;0.00;1;0;0;100.00;0.00;0.00;silba-
-luri;4;1;0.00;1;0;0;100.00;0.00;0.00;irul-
-broke;5;1;0.00;0;0;1;0.00;0.00;100.00;ekorb-
-jong;4;1;0.00;1;0;0;100.00;0.00;0.00;gnoj-
-vasor;5;2;0.00;2;0;0;100.00;0.00;0.00;rosav-
-hlis;4;1;0.00;0;1;0;0.00;100.00;0.00;silh-
-puler;5;3;0.00;3;0;0;100.00;0.00;0.00;relup-
-hlit;4;4;0.00;4;0;0;100.00;0.00;0.00;tilh-
-avada;5;1;0.00;1;0;0;100.00;0.00;0.00;adava-
-dbank;5;6;0.00;0;6;0;0.00;100.00;0.00;knabd-
-illi;4;2;0.00;1;0;1;50.00;0.00;50.00;illi-
-uol;3;4;0.00;0;0;4;0.00;0.00;100.00;lou-
